"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station"
"1076","1076","445 Western Ave",,"42.362339","-71.141357",,,,
"10768","10768","Centre St @ Grove St",,"42.268864","-71.161903",,,,
"10769","10769","Centre St @ Grove St",,"42.26889","-71.161804",,,,
"1077","1077","Western Ave opp Richardson St",,"42.361973","-71.143387",,,,
"10777","10777","Spring St @ Cass St",,"42.277168","-71.164192",,,,
"1078","1078","Western Ave @ Soldiers Field Rd",,"42.361637","-71.145111",,,,
"1079","1079","Market St @ Birmingham Pkwy",,"42.357079","-71.148575",,,,
"108","108","Massachusetts Ave @ Trowbridge St",,"42.37027","-71.112999",,,,
"1080","1080","Market St @ N Beacon St",,"42.356236","-71.149094",,,,
"1081","1081","Market St opp Faneuil St",,"42.354885","-71.149963",,,,
"1082","1082","Market St. opp. Mapleton St.",,"42.352638","-71.151367",,,,
"10820","10820","Veterans Hospital West Roxbury",,"42.274822","-71.172104",,,,
"10821","10821","Charles Park Rd @ VFW Pkwy",,"42.276825","-71.172523",,,,
"1083","1083","Market St @ Arlington St",,"42.351509","-71.152061",,,,
"10830","10830","5 Charles Park Rd",,"42.276932","-71.172562",,,,
"10832","10832","Dedham Mall",,"42.253872","-71.16851",,,,
"10833","10833","Dedham Mall @ Stop & Shop",,"42.25832","-71.168335",,,,
"1084","1084","Market St @ Washington St",,"42.34922","-71.15345",,,,
"1085","1085","Chestnut Hill Ave @ Academy Hill Rd",,"42.347088","-71.153748",,,,
"1086","1086","Chestnut Hill Ave @ Jackson Ave",,"42.344738","-71.15329",,,,
"1087","1087","Chestnut Hill Ave @ Wiltshire Rd",,"42.343048","-71.15361",,,,
"1088","1088","Chestnut Hill Ave @ Embassy Rd",,"42.341434","-71.154694",,,,
"1089","1089","Chestnut Hill Ave @ South St",,"42.340485","-71.155289",,,,
"109","109","Massachusetts Ave @ Quincy St",,"42.372192","-71.115463",,,,
"1090","1090","Chestnut Hill Ave @ Commonwealth Ave",,"42.338329","-71.153702",,,,
"1092","1092","Chestnut Hill Ave @ Beacon St",,"42.33622","-71.151237",,,,
"10923","10923","Cummins Hwy @ Wood Ave",,"42.274132","-71.109184",,,,
"1093","1093","Faneuil St @ Brackett St",,"42.351894","-71.165215",,,,
"1094","1094","Faneuil St @ Fairbanks St",,"42.352367","-71.163017",,,,
"1095","1095","Faneuil St @ Oakland St",,"42.3526","-71.160683",,,,
"1096","1096","Faneuil St opp Bothwell Rd",,"42.353035","-71.159546",,,,
"1097","1097","Faneuil St @ S Hobart St",,"42.35397","-71.158134",,,,
"1098","1098","Hobart St @ Falkland St",,"42.354858","-71.158562",,,,
"11","11","Melnea Cass Blvd @ Kerr Way",,"42.334763","-71.084457",,,,
"110","110","Massachusetts Ave @ Holyoke St - Holyoke Gate",,"42.37326","-71.118126",,,,
"1100","1100","Hobart St @ Brooks St",,"42.355537","-71.16243",,,,
"1102","1102","N Beacon St @ Parsons St",,"42.358299","-71.157997",,,,
"1103","1103","N Beacon St @ Goodenough St",,"42.357468","-71.153824",,,,
"1104","1104","N Beacon St opp Vineland St",,"42.356998","-71.152802",,,,
"1107","1107","N Beacon St @ Etna St",,"42.355316","-71.146248",,,,
"11070","11070","Life St @ Guest St",,"42.35693","-71.14563",,,,
"11071","11071","Arthur St @ Guest St - Stop & Shop",,"42.356312","-71.141647",,,,
"1108","1108","Chestnut Hill Ave opp Veronica Smith Ctr",,"42.347618","-71.15403",,,,
"1109","1109","N Beacon St @ Saunders St",,"42.354115","-71.14151",,,,
"111","111","Mt Vernon St @ South Point Dr",,"42.317184","-71.040237",,,,
"1110","1110","N Beacon St @ Cambridge St",,"42.353584","-71.138176",,,,
"1111","1111","Cambridge St @ Craftsman St",,"42.353931","-71.136368",,,,
"11111","11111","UMass Boston Busway",,"42.314217","-71.041573",,,,
"1112","1112","Cambridge St @ Harvard Ave",,"42.355251","-71.133179",,,,
